Percent Bachelors,County,State,Year
13.1,Ouachita Parish,Louisiana,2012
12.6,Rapides Parish,Louisiana,2012
9.5,St. Landry Parish,Louisiana,2012
20.4,St. Tammany Parish,Louisiana,2012
9.6,Tangipahoa Parish,Louisiana,2012
8.8,Terrebonne Parish,Louisiana,2012
10.8,Androscoggin County,Maine,2012
11.9,Aroostook County,Maine,2012
27.1,Cumberland County,Maine,2012
12.0,Kennebec County,Maine,2012
13.2,Penobscot County,Maine,2012
20.2,York County,Maine,2012
7.9,Allegany County,Maryland,2012
22.9,Anne Arundel County,Maryland,2012
20.2,Baltimore County,Maryland,2012
17.5,Calvert County,Maryland,2012
22.1,Carroll County,Maryland,2012
12.5,Cecil County,Maryland,2012
16.0,Charles County,Maryland,2012
22.9,Frederick County,Maryland,2012
21.6,Harford County,Maryland,2012
30.9,Howard County,Maryland,2012
25.5,Montgomery County,Maryland,2012
16.4,Prince George's County,Maryland,2012
18.9,St. Mary's County,Maryland,2012
10.2,Washington County,Maryland,2012
14.4,Wicomico County,Maryland,2012
13.6,Baltimore city,Maryland,2012
23.1,Barnstable County,Massachusetts,2012
17.9,Berkshire County,Massachusetts,2012
17.1,Bristol County,Massachusetts,2012
22.3,Essex County,Massachusetts,2012
17.8,Franklin County,Massachusetts,2012
15.1,Hampden County,Massachusetts,2012
19.6,Hampshire County,Massachusetts,2012
26.5,Middlesex County,Massachusetts,2012
26.8,Norfolk County,Massachusetts,2012
21.7,Plymouth County,Massachusetts,2012
23.0,Suffolk County,Massachusetts,2012
20.2,Worcester County,Massachusetts,2012
12.6,Allegan County,Michigan,2012
9.4,Bay County,Michigan,2012
15.8,Berrien County,Michigan,2012
14.3,Calhoun County,Michigan,2012
17.0,Clinton County,Michigan,2012
14.7,Eaton County,Michigan,2012
12.6,Genesee County,Michigan,2012
15.9,Grand Traverse County,Michigan,2012
20.8,Ingham County,Michigan,2012
15.3,Isabella County,Michigan,2012
13.8,Jackson County,Michigan,2012
21.6,Kalamazoo County,Michigan,2012
20.8,Kent County,Michigan,2012
9.6,Lapeer County,Michigan,2012
13.1,Lenawee County,Michigan,2012
24.6,Livingston County,Michigan,2012
15.0,Macomb County,Michigan,2012
17.8,Marquette County,Michigan,2012
17.5,Midland County,Michigan,2012
12.0,Monroe County,Michigan,2012
12.8,Muskegon County,Michigan,2012
25.4,Oakland County,Michigan,2012
19.1,Ottawa County,Michigan,2012
11.5,Saginaw County,Michigan,2012
9.6,St. Clair County,Michigan,2012
8.7,Shiawassee County,Michigan,2012
11.7,Van Buren County,Michigan,2012
22.3,Washtenaw County,Michigan,2012
13.1,Wayne County,Michigan,2012
19.2,Anoka County,Minnesota,2012
21.0,Blue Earth County,Minnesota,2012
29.2,Carver County,Minnesota,2012
28.2,Dakota County,Minnesota,2012
30.6,Hennepin County,Minnesota,2012
22.8,Olmsted County,Minnesota,2012
24.3,Ramsey County,Minnesota,2012
17.6,St. Louis County,Minnesota,2012
29.3,Scott County,Minnesota,2012
14.3,Sherburne County,Minnesota,2012
14.9,Stearns County,Minnesota,2012
27.9,Washington County,Minnesota,2012
21.2,Wright County,Minnesota,2012
11.8,DeSoto County,Mississippi,2012
16.4,Forrest County,Mississippi,2012
11.3,Harrison County,Mississippi,2012
14.4,Hinds County,Mississippi,2012
13.0,Jackson County,Mississippi,2012
9.4,Jones County,Mississippi,2012
13.7,Lauderdale County,Mississippi,2012
15.4,Lee County,Mississippi,2012
28.2,Madison County,Mississippi,2012
18.3,Rankin County,Mississippi,2012
28.6,Boone County,Missouri,2012
11.2,Buchanan County,Missouri,2012
20.6,Cape Girardeau County,Missouri,2012
13.0,Cass County,Missouri,2012
15.6,Christian County,Missouri,2012
21.8,Clay County,Missouri,2012
18.1,Cole County,Missouri,2012
8.8,Franklin County,Missouri,2012
19.8,Greene County,Missouri,2012
17.2,Jackson County,Missouri,2012
11.2,Jasper County,Missouri,2012
12.3,Jefferson County,Missouri,2012
24.0,Platte County,Missouri,2012
23.3,St. Charles County,Missouri,2012
10.5,St. Francois County,Missouri,2012
24.5,St. Louis County,Missouri,2012
17.9,St. Louis city,Missouri,2012
14.3,Cascade County,Montana,2012
19.9,Flathead County,Montana,2012
29.0,Gallatin County,Montana,2012
23.3,Missoula County,Montana,2012
18.6,Yellowstone County,Montana,2012
24.6,Douglas County,Nebraska,2012
20.6,Lancaster County,Nebraska,2012
23.4,Sarpy County,Nebraska,2012
14.7,Clark County,Nevada,2012
17.9,Washoe County,Nevada,2012
17.0,Cheshire County,New Hampshire,2012
17.5,Grafton County,New Hampshire,2012
24.3,Hillsborough County,New Hampshire,2012
21.5,Merrimack County,New Hampshire,2012
18.0,Cuyahoga County,Ohio,2012
32.2,Delaware County,Ohio,2012
14.4,Erie County,Ohio,2012
17.9,Fairfield County,Ohio,2012
24.5,Franklin County,Ohio,2012
21.1,Geauga County,Ohio,2012
20.4,Greene County,Ohio,2012
21.1,Hamilton County,Ohio,2012
18.7,Hancock County,Ohio,2012
12.9,Jefferson County,Ohio,2012
18.1,Lake County,Ohio,2012
12.9,Licking County,Ohio,2012
15.2,Lorain County,Ohio,2012
13.7,Lucas County,Ohio,2012
14.2,Mahoning County,Ohio,2012
5.3,Marion County,Ohio,2012
21.2,Medina County,Ohio,2012
15.6,Miami County,Ohio,2012
15.6,Montgomery County,Ohio,2012
8.6,Muskingum County,Ohio,2012
15.9,Portage County,Ohio,2012
9.8,Richland County,Ohio,2012
7.6,Ross County,Ohio,2012
10.8,Scioto County,Ohio,2012
14.9,Stark County,Ohio,2012
19.7,Summit County,Ohio,2012
11.1,Trumbull County,Ohio,2012
9.5,Tuscarawas County,Ohio,2012
22.1,Warren County,Ohio,2012
13.8,Wayne County,Ohio,2012
16.0,Wood County,Ohio,2012
18.3,Canadian County,Oklahoma,2012
